# x_m,y_m,velocity,state
-2.6057,13.9553,5.0000,0.0000
-2.4108,14.1146,5.0000,0.0000
-2.2192,14.2932,5.2829,0.0000
-2.0265,14.4910,5.5883,0.0000
-1.8286,14.7081,5.9132,0.0000
-1.6213,14.9444,6.2609,0.0000
-1.4004,15.2000,6.6345,0.0000
-1.1617,15.4749,7.0371,0.0000
-0.9010,15.7690,7.4717,0.0000
-0.6142,16.0824,7.9415,0.0000
-0.2970,16.4150,9.0000,0.0000
0.0547,16.7669,8.8635,0.0000
0.3702,17.0682,8.6826,0.0000
0.5846,17.2672,8.5613,0.0000
0.8175,17.4800,8.4304,0.0000
1.0670,17.7052,8.2910,0.0000
1.3313,17.9414,8.1441,0.0000
1.6082,18.1872,7.9905,0.0000
1.8961,18.4411,7.8313,0.0000
2.1928,18.7018,7.6675,0.0000
2.4966,18.9679,7.5000,0.0000
2.8056,19.2379,7.4641,0.0000
3.1177,19.5105,6.8569,0.0000
3.4311,19.7842,6.2472,0.0000
3.7439,20.0577,5.6384,0.0000
4.0541,20.3294,5.0341,0.0000
4.3599,20.5981,4.4376,0.0000
4.6593,20.8622,3.8525,0.0000
4.9505,21.1205,3.2822,0.0000
5.2315,21.3714,2.7302,0.0000
5.5003,21.6136,2.2000,0.0000
5.7551,21.8457,2.2000,0.0000
5.9940,22.0662,2.2000,0.0000
6.2151,22.2738,2.2000,0.0000
6.4164,22.4670,2.2000,0.0000
6.5960,22.6444,2.2000,0.0000
7.0514,23.1163,2.2000,0.0000
7.4107,23.5184,2.2000,0.0000
7.6835,23.8580,2.3034,0.0000
7.8812,24.1443,2.5246,0.0000
8.0153,24.3869,2.7009,0.0000
8.0974,24.5951,2.8432,0.0000
8.1391,24.7783,2.9627,0.0000
8.1450,24.9750,3.0878,0.0000
8.0017,25.1838,3.2489,0.0000
7.7045,25.3017,3.4522,0.0000
7.3057,25.3225,3.7061,0.0000
6.8576,25.2397,3.9959,0.0000
6.5625,25.1309,4.1959,0.0000
6.3477,25.0350,4.3455,0.0000
6.1320,24.9231,4.5000,0.0000
5.9049,24.7883,4.7115,0.0000
5.6560,24.6232,5.0831,0.0000
5.3747,24.4208,5.5143,0.0000
5.0506,24.1739,6.0212,0.0000
4.6732,23.8753,6.6199,0.0000
4.2321,23.5179,7.3262,0.0000
3.8887,23.2360,7.8791,0.0000
3.6769,23.0594,8.2221,0.0000
3.4467,22.8653,8.5967,0.0000
3.1999,22.6552,4.5000,0.0000
2.9381,22.4308,9.0000,0.0000
2.6632,22.1938,8.8084,0.0000
2.3769,21.9458,8.5989,0.0000
2.0811,21.6883,8.3821,0.0000
1.7774,21.4232,8.1591,0.0000
1.4677,21.1519,7.9315,0.0000
1.1537,20.8761,7.7004,0.0000
0.8372,20.5974,7.4672,0.0000
0.5200,20.3176,7.2333,0.0000
0.2039,20.0381,7.0000,0.0000
-0.1095,19.7607,6.4853,0.0000
-0.4182,19.4870,5.9606,0.0000
-0.7206,19.2187,5.4464,0.0000
-1.0149,18.9572,4.9458,0.0000
-1.2992,18.7044,4.4619,0.0000
-1.5718,18.4618,3.9978,0.0000
-1.8310,18.2311,3.5565,0.0000
-2.0750,18.0139,3.1410,0.0000
-2.3020,17.8118,2.4000,0.0000
-2.5102,17.6264,2.3961,0.0000
-2.6978,17.4595,2.3822,0.0000
-3.1888,17.0253,2.3459,0.0000
-3.6017,16.6640,2.3156,0.0000
-3.9013,16.4020,2.2936,0.0000
-4.1168,16.2089,2.2776,0.0000
-4.2772,16.0542,2.2653,0.0000
-4.4114,15.9073,2.2543,0.0000
-4.5485,15.7378,2.2422,0.0000
-4.7853,15.3753,2.2000,0.0000
-4.8803,15.0591,2.2000,0.0000
-4.8732,14.7510,2.2000,0.0000
-4.8245,14.4136,2.2000,0.0000
-4.7241,14.0356,2.2000,0.0000
-4.5519,13.7014,2.2000,0.0000
-4.2945,13.5130,2.2000,0.0000
-4.0474,13.4600,2.2000,0.0000
-3.7563,13.4539,2.2000,0.0000
-3.4199,13.5185,2.2000,0.0000
-3.0368,13.6776,2.2000,0.0000
-2.6057,13.9553,2.2000,0.0000
